Year,Province,Attribute,Commodity,Value,Unit,Level
2009,Đắk Nông,Sản lượng,Lúa mùa,36400.0,tấn,Province
2009,Lâm Đồng,Sản lượng,Lúa mùa,75900.0,tấn,Province
2009,Đông Nam Bộ,Sản lượng,Lúa mùa,534300.0,tấn,Regional
2009,Bình Phước,Sản lượng,Lúa mùa,35400.0,tấn,Province
2009,Tây Ninh,Sản lượng,Lúa mùa,254500.0,tấn,Province
2009,Bình Dương,Sản lượng,Lúa mùa,18800.0,tấn,Province
2009,Đồng Nai,Sản lượng,Lúa mùa,136800.0,tấn,Province
2009,Bà Rịa - Vũng Tàu,Sản lượng,Lúa mùa,43900.0,tấn,Province
2009,TP.Hồ Chí Minh,Sản lượng,Lúa mùa,44900.0,tấn,Province
2009,Đồng bằng sông Cửu Long,Sản lượng,Lúa mùa,1611000.0,tấn,Regional
2009,Long An,Sản lượng,Lúa mùa,25100.0,tấn,Province
2009,Bến Tre,Sản lượng,Lúa mùa,142200.0,tấn,Province
2009,Trà Vinh,Sản lượng,Lúa mùa,383100.0,tấn,Province
2009,An Giang,Sản lượng,Lúa mùa,28500.0,tấn,Province
2009,Kiên Giang,Sản lượng,Lúa mùa,237400.0,tấn,Province
2009,Sóc Trăng,Sản lượng,Lúa mùa,116400.0,tấn,Province
2009,Bạc Liêu,Sản lượng,Lúa mùa,316600.0,tấn,Province
2009,Cà Mau,Sản lượng,Lúa mùa,361700.0,tấn,Province
2010,Cả Nước,Sản lượng,Lúa mùa,9102700.0,tấn,National
2010,Đồng bằng sông Hồng,Sản lượng,Lúa mùa,3212800.0,tấn,Regional
2010,Hà Nội,Sản lượng,Lúa mùa,535100.0,tấn,Province
2010,Vĩnh Phúc,Sản lượng,Lúa mùa,143300.0,tấn,Province
2010,Bắc Ninh,Sản lượng,Lúa mùa,200800.0,tấn,Province
2010,Quảng Ninh,Sản lượng,Lúa mùa,118500.0,tấn,Province
2010,Hải Dương,Sản lượng,Lúa mùa,370000.0,tấn,Province
2010,Hải Phòng,Sản lượng,Lúa mùa,235400.0,tấn,Province
2010,Hưng Yên,Sản lượng,Lúa mùa,255100.0,tấn,Province
2010,Thái Bình,Sản lượng,Lúa mùa,520700.00000000006,tấn,Province
2010,Hà Nam,Sản lượng,Lúa mùa,195800.0,tấn,Province
2010,Nam Định,Sản lượng,Lúa mùa,419500.0,tấn,Province
2010,Ninh Bình,Sản lượng,Lúa mùa,218600.0,tấn,Province
2010,Trung du và miền núi phía Bắc,Sản lượng,Lúa mùa,1809600.0,tấn,Regional
2010,Hà Giang,Sản lượng,Lúa mùa,145500.0,tấn,Province
2010,Cao Bằng,Sản lượng,Lúa mùa,110600.0,tấn,Province
2010,Bắc Kạn,Sản lượng,Lúa mùa,58100.0,tấn,Province
2010,Tuyên Quang,Sản lượng,Lúa mùa,147100.0,tấn,Province
2010,Lào Cai,Sản lượng,Lúa mùa,76900.0,tấn,Province
2010,Yên Bái,Sản lượng,Lúa mùa,95400.0,tấn,Province
2010,Thái Nguyên,Sản lượng,Lúa mùa,194500.0,tấn,Province
2010,Lạng Sơn,Sản lượng,Lúa mùa,120200.0,tấn,Province
2010,Bắc Giang,Sản lượng,Lúa mùa,301100.0,tấn,Province
2010,Phú Thọ,Sản lượng,Lúa mùa,160100.0,tấn,Province
2010,Điện Biên,Sản lượng,Lúa mùa,108700.0,tấn,Province
2010,Lai Châu,Sản lượng,Lúa mùa,88500.0,tấn,Province
2010,Sơn La,Sản lượng,Lúa mùa,92200.0,tấn,Province
2010,Hòa Bình,Sản lượng,Lúa mùa,110700.0,tấn,Province
2010,Bắc Trung Bộ và Duyên hải miền Trung,Sản lượng,Lúa mùa,1358600.0,tấn,Regional
2010,Thanh Hóa,Sản lượng,Lúa mùa,669500.0,tấn,Province
2010,Nghệ An,Sản lượng,Lúa mùa,86400.0,tấn,Province
2010,Hà Tĩnh,Sản lượng,Lúa mùa,3200.0,tấn,Province
2010,Quảng Bình,Sản lượng,Lúa mùa,200.0,tấn,Province
2010,Quảng Trị,Sản lượng,Lúa mùa,2400.0,tấn,Province
2010,Thừa Thiên Huế,Sản lượng,Lúa mùa,1000.0,tấn,Province
2010,Đà Nẵng,Sản lượng,Lúa mùa,18100.0,tấn,Province
2010,Quảng Nam,Sản lượng,Lúa mùa,198700.0,tấn,Province
2010,Quảng Ngãi,Sản lượng,Lúa mùa,10300.0,tấn,Province
2010,Bình Định,Sản lượng,Lúa mùa,103400.0,tấn,Province
2010,Phú Yên,Sản lượng,Lúa mùa,17900.0,tấn,Province
2010,Khánh Hòa,Sản lượng,Lúa mùa,24400.0,tấn,Province
2010,Ninh Thuận,Sản lượng,Lúa mùa,48400.0,tấn,Province
2010,Bình Thuận,Sản lượng,Lúa mùa,174700.0,tấn,Province
2010,Tây Nguyên,Sản lượng,Lúa mùa,589600.0,tấn,Regional
2010,Kon Tum,Sản lượng,Lúa mùa,47400.0,tấn,Province
2010,Gia Lai,Sản lượng,Lúa mùa,175100.0,tấn,Province
2010,Đắk Lắk,Sản lượng,Lúa mùa,260500.0,tấn,Province
2010,Đắk Nông,Sản lượng,Lúa mùa,37600.0,tấn,Province
2010,Lâm Đồng,Sản lượng,Lúa mùa,69000.0,tấn,Province
2010,Đông Nam Bộ,Sản lượng,Lúa mùa,533100.0,tấn,Regional
2010,Bình Phước,Sản lượng,Lúa mùa,36200.0,tấn,Province
2010,Tây Ninh,Sản lượng,Lúa mùa,272400.0,tấn,Province
2010,Bình Dương,Sản lượng,Lúa mùa,19100.0,tấn,Province
2010,Đồng Nai,Sản lượng,Lúa mùa,127400.0,tấn,Province
2010,Bà Rịa - Vũng Tàu,Sản lượng,Lúa mùa,40300.0,tấn,Province
2010,TP.Hồ Chí Minh,Sản lượng,Lúa mùa,37700.0,tấn,Province
2010,Đồng bằng sông Cửu Long,Sản lượng,Lúa mùa,1599000.0,tấn,Regional
2010,Long An,Sản lượng,Lúa mùa,39400.0,tấn,Province
2010,Bến Tre,Sản lượng,Lúa mùa,154600.0,tấn,Province
2010,Trà Vinh,Sản lượng,Lúa mùa,430200.0,tấn,Province
2010,An Giang,Sản lượng,Lúa mùa,23300.0,tấn,Province
2010,Kiên Giang,Sản lượng,Lúa mùa,237100.0,tấn,Province
2010,Sóc Trăng,Sản lượng,Lúa mùa,99100.0,tấn,Province
2010,Bạc Liêu,Sản lượng,Lúa mùa,270600.0,tấn,Province
2010,Cà Mau,Sản lượng,Lúa mùa,344700.0,tấn,Province
2011,Cả Nước,Sản lượng,Lúa mùa,9217300.0,tấn,National
2011,Đồng bằng sông Hồng,Sản lượng,Lúa mùa,3176900.0,tấn,Regional
2011,Hà Nội,Sản lượng,Lúa mùa,581500.0,tấn,Province
2011,Vĩnh Phúc,Sản lượng,Lúa mùa,151100.0,tấn,Province
2011,Bắc Ninh,Sản lượng,Lúa mùa,208400.0,tấn,Province
2011,Quảng Ninh,Sản lượng,Lúa mùa,117700.0,tấn,Province
2011,Hải Dương,Sản lượng,Lúa mùa,350000.0,tấn,Province
2011,Hải Phòng,Sản lượng,Lúa mùa,223100.0,tấn,Province
2011,Hưng Yên,Sản lượng,Lúa mùa,247200.0,tấn,Province
2011,Thái Bình,Sản lượng,Lúa mùa,492800.0,tấn,Province
2011,Hà Nam,Sản lượng,Lúa mùa,194900.0,tấn,Province
2011,Nam Định,Sản lượng,Lúa mùa,394400.0,tấn,Province
2011,Ninh Bình,Sản lượng,Lúa mùa,215800.0,tấn,Province
2011,Trung du và miền núi phía Bắc,Sản lượng,Lúa mùa,1833300.0,tấn,Regional
2011,Hà Giang,Sản lượng,Lúa mùa,147600.0,tấn,Province
2011,Cao Bằng,Sản lượng,Lúa mùa,100300.0,tấn,Province
2011,Bắc Kạn,Sản lượng,Lúa mùa,57400.0,tấn,Province
2011,Tuyên Quang,Sản lượng,Lúa mùa,147800.0,tấn,Province
2011,Lào Cai,Sản lượng,Lúa mùa,89000.0,tấn,Province
2011,Yên Bái,Sản lượng,Lúa mùa,99600.0,tấn,Province
2011,Thái Nguyên,Sản lượng,Lúa mùa,205700.0,tấn,Province
2011,Lạng Sơn,Sản lượng,Lúa mùa,90200.0,tấn,Province
2011,Bắc Giang,Sản lượng,Lúa mùa,311400.0,tấn,Province
2011,Phú Thọ,Sản lượng,Lúa mùa,169800.0,tấn,Province
2011,Điện Biên,Sản lượng,Lúa mùa,108400.0,tấn,Province
2011,Lai Châu,Sản lượng,Lúa mùa,89900.0,tấn,Province
2011,Sơn La,Sản lượng,Lúa mùa,98300.0,tấn,Province
2011,Hòa Bình,Sản lượng,Lúa mùa,117900.0,tấn,Province
2011,Bắc Trung Bộ và Duyên hải miền Trung,Sản lượng,Lúa mùa,1421500.0,tấn,Regional
2011,Thanh Hóa,Sản lượng,Lúa mùa,658900.0,tấn,Province
2011,Nghệ An,Sản lượng,Lúa mùa,131400.0,tấn,Province
2011,Hà Tĩnh,Sản lượng,Lúa mùa,5700.0,tấn,Province
2011,Quảng Bình,Sản lượng,Lúa mùa,800.0,tấn,Province
2011,Quảng Trị,Sản lượng,Lúa mùa,2400.0,tấn,Province
2011,Thừa Thiên Huế,Sản lượng,Lúa mùa,1100.0,tấn,Province
2011,Đà Nẵng,Sản lượng,Lúa mùa,16200.0,tấn,Province
2011,Quảng Nam,Sản lượng,Lúa mùa,216000.0,tấn,Province
2011,Quảng Ngãi,Sản lượng,Lúa mùa,10000.0,tấn,Province
2011,Bình Định,Sản lượng,Lúa mùa,99100.0,tấn,Province
2011,Phú Yên,Sản lượng,Lúa mùa,20100.0,tấn,Province
2011,Khánh Hòa,Sản lượng,Lúa mùa,25100.0,tấn,Province
2011,Ninh Thuận,Sản lượng,Lúa mùa,48400.0,tấn,Province
2011,Bình Thuận,Sản lượng,Lúa mùa,186300.0,tấn,Province
2011,Tây Nguyên,Sản lượng,Lúa mùa,633500.0,tấn,Regional
2011,Kon Tum,Sản lượng,Lúa mùa,49600.0,tấn,Province
2011,Gia Lai,Sản lượng,Lúa mùa,180700.0,tấn,Province
2011,Đắk Lắk,Sản lượng,Lúa mùa,286800.0,tấn,Province
2011,Đắk Nông,Sản lượng,Lúa mùa,40000.0,tấn,Province
2011,Lâm Đồng,Sản lượng,Lúa mùa,76400.0,tấn,Province
2011,Đông Nam Bộ,Sản lượng,Lúa mùa,524500.0,tấn,Regional
2011,Bình Phước,Sản lượng,Lúa mùa,33500.0,tấn,Province
2011,Tây Ninh,Sản lượng,Lúa mùa,264700.0,tấn,Province
2011,Bình Dương,Sản lượng,Lúa mùa,17500.0,tấn,Province
2011,Đồng Nai,Sản lượng,Lúa mùa,131700.0,tấn,Province
2011,Bà Rịa - Vũng Tàu,Sản lượng,Lúa mùa,39800.0,tấn,Province
2011,TP.Hồ Chí Minh,Sản lượng,Lúa mùa,37300.0,tấn,Province
2011,Đồng bằng sông Cửu Long,Sản lượng,Lúa mùa,1627600.0,tấn,Regional
2011,Long An,Sản lượng,Lúa mùa,33200.0,tấn,Province
2011,Bến Tre,Sản lượng,Lúa mùa,148900.0,tấn,Province
2011,Trà Vinh,Sản lượng,Lúa mùa,433800.0,tấn,Province
2011,An Giang,Sản lượng,Lúa mùa,23300.0,tấn,Province
2011,Kiên Giang,Sản lượng,Lúa mùa,202000.0,tấn,Province
2011,Sóc Trăng,Sản lượng,Lúa mùa,103700.0,tấn,Province
2011,Bạc Liêu,Sản lượng,Lúa mùa,302500.0,tấn,Province
2011,Cà Mau,Sản lượng,Lúa mùa,380200.0,tấn,Province
2012,Cả Nước,Sản lượng,Lúa mùa,9487900.0,tấn,National
2012,Đồng bằng sông Hồng,Sản lượng,Lúa mùa,3142100.0,tấn,Regional
2012,Hà Nội,Sản lượng,Lúa mùa,568200.0,tấn,Province
2012,Vĩnh Phúc,Sản lượng,Lúa mùa,115300.0,tấn,Province
2012,Bắc Ninh,Sản lượng,Lúa mùa,202300.0,tấn,Province
2012,Quảng Ninh,Sản lượng,Lúa mùa,123100.0,tấn,Province
2012,Hải Dương,Sản lượng,Lúa mùa,364300.0,tấn,Province
2012,Hải Phòng,Sản lượng,Lúa mùa,224200.0,tấn,Province
2012,Hưng Yên,Sản lượng,Lúa mùa,251200.0,tấn,Province
2012,Thái Bình,Sản lượng,Lúa mùa,478300.0,tấn,Province
2012,Hà Nam,Sản lượng,Lúa mùa,198400.0,tấn,Province
2012,Nam Định,Sản lượng,Lúa mùa,398600.0,tấn,Province
2012,Ninh Bình,Sản lượng,Lúa mùa,218200.0,tấn,Province
2012,Trung du và miền núi phía Bắc,Sản lượng,Lúa mùa,1888400.0,tấn,Regional
2012,Hà Giang,Sản lượng,Lúa mùa,150500.0,tấn,Province
2012,Cao Bằng,Sản lượng,Lúa mùa,106800.0,tấn,Province
2012,Bắc Kạn,Sản lượng,Lúa mùa,63100.0,tấn,Province
2012,Tuyên Quang,Sản lượng,Lúa mùa,147300.0,tấn,Province
2012,Lào Cai,Sản lượng,Lúa mùa,89500.0,tấn,Province
2012,Yên Bái,Sản lượng,Lúa mùa,99300.0,tấn,Province
2012,Thái Nguyên,Sản lượng,Lúa mùa,208400.0,tấn,Province
2012,Lạng Sơn,Sản lượng,Lúa mùa,118900.0,tấn,Province
2012,Bắc Giang,Sản lượng,Lúa mùa,313100.0,tấn,Province
2012,Phú Thọ,Sản lượng,Lúa mùa,164400.0,tấn,Province
2012,Điện Biên,Sản lượng,Lúa mùa,109900.0,tấn,Province
2012,Lai Châu,Sản lượng,Lúa mùa,88800.0,tấn,Province
2012,Sơn La,Sản lượng,Lúa mùa,102700.0,tấn,Province
2012,Hòa Bình,Sản lượng,Lúa mùa,125700.0,tấn,Province
2012,Bắc Trung Bộ và Duyên hải miền Trung,Sản lượng,Lúa mùa,1471600.0,tấn,Regional
2012,Thanh Hóa,Sản lượng,Lúa mùa,694100.0,tấn,Province
2012,Nghệ An,Sản lượng,Lúa mùa,124200.0,tấn,Province
2012,Hà Tĩnh,Sản lượng,Lúa mùa,5400.0,tấn,Province
2012,Quảng Bình,Sản lượng,Lúa mùa,800.0,tấn,Province
2012,Quảng Trị,Sản lượng,Lúa mùa,2300.0,tấn,Province
2012,Thừa Thiên Huế,Sản lượng,Lúa mùa,1200.0,tấn,Province
2012,Đà Nẵng,Sản lượng,Lúa mùa,15600.0,tấn,Province
2012,Quảng Nam,Sản lượng,Lúa mùa,210500.0,tấn,Province
2012,Quảng Ngãi,Sản lượng,Lúa mùa,7100.0,tấn,Province
2012,Bình Định,Sản lượng,Lúa mùa,94700.0,tấn,Province
2012,Phú Yên,Sản lượng,Lúa mùa,21000.0,tấn,Province
2012,Khánh Hòa,Sản lượng,Lúa mùa,28900.0,tấn,Province
2012,Ninh Thuận,Sản lượng,Lúa mùa,64700.0,tấn,Province
2012,Bình Thuận,Sản lượng,Lúa mùa,201100.0,tấn,Province
2012,Tây Nguyên,Sản lượng,Lúa mùa,639600.0,tấn,Regional
2012,Kon Tum,Sản lượng,Lúa mùa,52400.0,tấn,Province
2012,Gia Lai,Sản lượng,Lúa mùa,186400.0,tấn,Province
2012,Đắk Lắk,Sản lượng,Lúa mùa,281300.0,tấn,Province
2012,Đắk Nông,Sản lượng,Lúa mùa,42100.0,tấn,Province
2012,Lâm Đồng,Sản lượng,Lúa mùa,77400.0,tấn,Province
2012,Đông Nam Bộ,Sản lượng,Lúa mùa,536600.0,tấn,Regional
2012,Bình Phước,Sản lượng,Lúa mùa,35000.0,tấn,Province
2012,Tây Ninh,Sản lượng,Lúa mùa,272900.0,tấn,Province
2012,Bình Dương,Sản lượng,Lúa mùa,17400.0,tấn,Province
2012,Đồng Nai,Sản lượng,Lúa mùa,133900.0,tấn,Province
2012,Bà Rịa - Vũng Tàu,Sản lượng,Lúa mùa,39900.0,tấn,Province
2012,TP.Hồ Chí Minh,Sản lượng,Lúa mùa,37500.0,tấn,Province
2012,Đồng bằng sông Cửu Long,Sản lượng,Lúa mùa,1809600.0,tấn,Regional
2012,Long An,Sản lượng,Lúa mùa,36400.0,tấn,Province
2012,Bến Tre,Sản lượng,Lúa mùa,154200.0,tấn,Province
2012,Trà Vinh,Sản lượng,Lúa mùa,460600.0,tấn,Province
2012,An Giang,Sản lượng,Lúa mùa,29700.0,tấn,Province
2012,Kiên Giang,Sản lượng,Lúa mùa,274900.0,tấn,Province
2012,Sóc Trăng,Sản lượng,Lúa mùa,127400.0,tấn,Province
2012,Bạc Liêu,Sản lượng,Lúa mùa,341200.0,tấn,Province
2012,Cà Mau,Sản lượng,Lúa mùa,385200.0,tấn,Province
2013,Cả Nước,Sản lượng,Lúa mùa,9346000.0,tấn,National
2013,Đồng bằng sông Hồng,Sản lượng,Lúa mùa,2967900.0,tấn,Regional
2013,Hà Nội,Sản lượng,Lúa mùa,530900.0,tấn,Province
2013,Vĩnh Phúc,Sản lượng,Lúa mùa,122100.0,tấn,Province
2013,Bắc Ninh,Sản lượng,Lúa mùa,180400.0,tấn,Province
2013,Quảng Ninh,Sản lượng,Lúa mùa,118500.0,tấn,Province
2013,Hải Dương,Sản lượng,Lúa mùa,337500.0,tấn,Province
2013,Hải Phòng,Sản lượng,Lúa mùa,227600.0,tấn,Province
2013,Hưng Yên,Sản lượng,Lúa mùa,228900.0,tấn,Province
2013,Thái Bình,Sản lượng,Lúa mùa,477500.0,tấn,Province
2013,Hà Nam,Sản lượng,Lúa mùa,170500.0,tấn,Province
2013,Nam Định,Sản lượng,Lúa mùa,386800.0,tấn,Province
2013,Ninh Bình,Sản lượng,Lúa mùa,187200.0,tấn,Province
2013,Trung du và miền núi phía Bắc,Sản lượng,Lúa mùa,1862400.0,tấn,Regional
2013,Hà Giang,Sản lượng,Lúa mùa,152700.0,tấn,Province
2013,Cao Bằng,Sản lượng,Lúa mùa,107900.0,tấn,Province
2013,Bắc Kạn,Sản lượng,Lúa mùa,64700.0,tấn,Province
2013,Tuyên Quang,Sản lượng,Lúa mùa,145600.0,tấn,Province
2013,Lào Cai,Sản lượng,Lúa mùa,91900.0,tấn,Province
2013,Yên Bái,Sản lượng,Lúa mùa,97600.0,tấn,Province
2013,Thái Nguyên,Sản lượng,Lúa mùa,201200.0,tấn,Province
2013,Lạng Sơn,Sản lượng,Lúa mùa,124200.0,tấn,Province
2013,Bắc Giang,Sản lượng,Lúa mùa,273800.0,tấn,Province
2013,Phú Thọ,Sản lượng,Lúa mùa,166900.0,tấn,Province
2013,Điện Biên,Sản lượng,Lúa mùa,116100.0,tấn,Province
2013,Lai Châu,Sản lượng,Lúa mùa,93900.0,tấn,Province
2013,Sơn La,Sản lượng,Lúa mùa,114200.0,tấn,Province
2013,Hòa Bình,Sản lượng,Lúa mùa,111700.0,tấn,Province
2013,Bắc Trung Bộ và Duyên hải miền Trung,Sản lượng,Lúa mùa,1436500.0,tấn,Regional
2013,Thanh Hóa,Sản lượng,Lúa mùa,671600.0,tấn,Province
2013,Nghệ An,Sản lượng,Lúa mùa,115600.0,tấn,Province
2013,Hà Tĩnh,Sản lượng,Lúa mùa,3600.0,tấn,Province
2013,Quảng Bình,Sản lượng,Lúa mùa,300.0,tấn,Province
