Year,Province,Attribute,Commodity,Value,Unit,Source_file
2009,Hải Dương,Sản lượng,Lúa mùa,360.1,Nghìn tấn,24.csv
2009,Hải Phòng,Sản lượng,Lúa mùa,236.0,Nghìn tấn,24.csv
2009,Hưng Yên,Sản lượng,Lúa mùa,252.0,Nghìn tấn,24.csv
2009,Thái Bình,Sản lượng,Lúa mùa,520.5,Nghìn tấn,24.csv
2009,Hà Nam,Sản lượng,Lúa mùa,200.2,Nghìn tấn,24.csv
2009,Nam Định,Sản lượng,Lúa mùa,360.3,Nghìn tấn,24.csv
2009,Ninh Bình,Sản lượng,Lúa mùa,225.9,Nghìn tấn,24.csv
2009,Trung du và miền núi phía Bắc,Sản lượng,Lúa mùa,1785.7,Nghìn tấn,24.csv
2009,Hà Giang,Sản lượng,Lúa mùa,136.9,Nghìn tấn,24.csv
2009,Cao Bằng,Sản lượng,Lúa mùa,99.7,Nghìn tấn,24.csv
2009,Bắc Kạn,Sản lượng,Lúa mùa,60.3,Nghìn tấn,24.csv
2009,Tuyên Quang,Sản lượng,Lúa mùa,146.0,Nghìn tấn,24.csv
2009,Lào Cai,Sản lượng,Lúa mùa,79.6,Nghìn tấn,24.csv
2009,Yên Bái,Sản lượng,Lúa mùa,97.3,Nghìn tấn,24.csv
2009,Thái Nguyên,Sản lượng,Lúa mùa,195.7,Nghìn tấn,24.csv
2009,Lạng Sơn,Sản lượng,Lúa mùa,116.6,Nghìn tấn,24.csv
2009,Bắc Giang,Sản lượng,Lúa mùa,291.1,Nghìn tấn,24.csv
2009,Phú Thọ,Sản lượng,Lúa mùa,165.1,Nghìn tấn,24.csv
2009,Điện Biên,Sản lượng,Lúa mùa,104.2,Nghìn tấn,24.csv
2009,Lai Châu,Sản lượng,Lúa mùa,84.1,Nghìn tấn,24.csv
2009,Sơn La,Sản lượng,Lúa mùa,98.0,Nghìn tấn,24.csv
2009,Hòa Bình,Sản lượng,Lúa mùa,111.1,Nghìn tấn,24.csv
2009,Bắc Trung Bộ và Duyên hải miền Trung,Sản lượng,Lúa mùa,1376.0,Nghìn tấn,24.csv
2009,Thanh Hóa,Sản lượng,Lúa mùa,722.9,Nghìn tấn,24.csv
2009,Nghệ An,Sản lượng,Lúa mùa,71.0,Nghìn tấn,24.csv
2009,Hà Tĩnh,Sản lượng,Lúa mùa,9.2,Nghìn tấn,24.csv
2009,Quảng Bình,Sản lượng,Lúa mùa,1.1,Nghìn tấn,24.csv
2009,Quảng Trị,Sản lượng,Lúa mùa,2.4,Nghìn tấn,24.csv
2009,Thừa Thiên Huế,Sản lượng,Lúa mùa,1.1,Nghìn tấn,24.csv
2009,Đà Nẵng,Sản lượng,Lúa mùa,18.0,Nghìn tấn,24.csv
2009,Quảng Nam,Sản lượng,Lúa mùa,177.8,Nghìn tấn,24.csv
2009,Quảng Ngãi,Sản lượng,Lúa mùa,7.9,Nghìn tấn,24.csv
2009,Bình Định,Sản lượng,Lúa mùa,87.4,Nghìn tấn,24.csv
2009,Phú Yên,Sản lượng,Lúa mùa,11.7,Nghìn tấn,24.csv
2009,Khánh Hòa,Sản lượng,Lúa mùa,22.1,Nghìn tấn,24.csv
2009,Ninh Thuận,Sản lượng,Lúa mùa,54.6,Nghìn tấn,24.csv
2009,Bình Thuận,Sản lượng,Lúa mùa,188.8,Nghìn tấn,24.csv
2009,Tây Nguyên,Sản lượng,Lúa mùa,559.4,Nghìn tấn,24.csv
2009,Kon Tum,Sản lượng,Lúa mùa,46.5,Nghìn tấn,24.csv
2009,Gia Lai,Sản lượng,Lúa mùa,159.5,Nghìn tấn,24.csv
2009,Đắk Lắk,Sản lượng,Lúa mùa,241.1,Nghìn tấn,24.csv
2009,Đắk Nông,Sản lượng,Lúa mùa,36.4,Nghìn tấn,24.csv
2009,Lâm Đồng,Sản lượng,Lúa mùa,75.9,Nghìn tấn,24.csv
2009,Đông Nam Bộ,Sản lượng,Lúa mùa,534.3,Nghìn tấn,24.csv
2009,Bình Phước,Sản lượng,Lúa mùa,35.4,Nghìn tấn,24.csv
2009,Tây Ninh,Sản lượng,Lúa mùa,254.5,Nghìn tấn,24.csv
2009,Bình Dương,Sản lượng,Lúa mùa,18.8,Nghìn tấn,24.csv
2009,Đồng Nai,Sản lượng,Lúa mùa,136.8,Nghìn tấn,24.csv
2009,Bà Rịa - Vũng Tàu,Sản lượng,Lúa mùa,43.9,Nghìn tấn,24.csv
2009,TP.Hồ Chí Minh,Sản lượng,Lúa mùa,44.9,Nghìn tấn,24.csv
2009,Đồng bằng sông Cửu Long,Sản lượng,Lúa mùa,1611.0,Nghìn tấn,24.csv
2009,Long An,Sản lượng,Lúa mùa,25.1,Nghìn tấn,24.csv
2009,Bến Tre,Sản lượng,Lúa mùa,142.2,Nghìn tấn,24.csv
2009,Trà Vinh,Sản lượng,Lúa mùa,383.1,Nghìn tấn,24.csv
2009,An Giang,Sản lượng,Lúa mùa,28.5,Nghìn tấn,24.csv
2009,Kiên Giang,Sản lượng,Lúa mùa,237.4,Nghìn tấn,24.csv
2009,Sóc Trăng,Sản lượng,Lúa mùa,116.4,Nghìn tấn,24.csv
2009,Bạc Liêu,Sản lượng,Lúa mùa,316.6,Nghìn tấn,24.csv
2009,Cà Mau,Sản lượng,Lúa mùa,361.7,Nghìn tấn,24.csv
2010,Cả Nước,Sản lượng,Lúa mùa,9102.7,Nghìn tấn,24.csv
2010,Đồng bằng sông Hồng,Sản lượng,Lúa mùa,3212.8,Nghìn tấn,24.csv
2010,Hà Nội,Sản lượng,Lúa mùa,535.1,Nghìn tấn,24.csv
2010,Vĩnh Phúc,Sản lượng,Lúa mùa,143.3,Nghìn tấn,24.csv
2010,Bắc Ninh,Sản lượng,Lúa mùa,200.8,Nghìn tấn,24.csv
2010,Quảng Ninh,Sản lượng,Lúa mùa,118.5,Nghìn tấn,24.csv
2010,Hải Dương,Sản lượng,Lúa mùa,370.0,Nghìn tấn,24.csv
2010,Hải Phòng,Sản lượng,Lúa mùa,235.4,Nghìn tấn,24.csv
2010,Hưng Yên,Sản lượng,Lúa mùa,255.1,Nghìn tấn,24.csv
2010,Thái Bình,Sản lượng,Lúa mùa,520.7,Nghìn tấn,24.csv
2010,Hà Nam,Sản lượng,Lúa mùa,195.8,Nghìn tấn,24.csv
2010,Nam Định,Sản lượng,Lúa mùa,419.5,Nghìn tấn,24.csv
2010,Ninh Bình,Sản lượng,Lúa mùa,218.6,Nghìn tấn,24.csv
2010,Trung du và miền núi phía Bắc,Sản lượng,Lúa mùa,1809.6,Nghìn tấn,24.csv
2010,Hà Giang,Sản lượng,Lúa mùa,145.5,Nghìn tấn,24.csv
2010,Cao Bằng,Sản lượng,Lúa mùa,110.6,Nghìn tấn,24.csv
2010,Bắc Kạn,Sản lượng,Lúa mùa,58.1,Nghìn tấn,24.csv
2010,Tuyên Quang,Sản lượng,Lúa mùa,147.1,Nghìn tấn,24.csv
2010,Lào Cai,Sản lượng,Lúa mùa,76.9,Nghìn tấn,24.csv
2010,Yên Bái,Sản lượng,Lúa mùa,95.4,Nghìn tấn,24.csv
2010,Thái Nguyên,Sản lượng,Lúa mùa,194.5,Nghìn tấn,24.csv
2010,Lạng Sơn,Sản lượng,Lúa mùa,120.2,Nghìn tấn,24.csv
2010,Bắc Giang,Sản lượng,Lúa mùa,301.1,Nghìn tấn,24.csv
2010,Phú Thọ,Sản lượng,Lúa mùa,160.1,Nghìn tấn,24.csv
2010,Điện Biên,Sản lượng,Lúa mùa,108.7,Nghìn tấn,24.csv
2010,Lai Châu,Sản lượng,Lúa mùa,88.5,Nghìn tấn,24.csv
2010,Sơn La,Sản lượng,Lúa mùa,92.2,Nghìn tấn,24.csv
2010,Hòa Bình,Sản lượng,Lúa mùa,110.7,Nghìn tấn,24.csv
2010,Bắc Trung Bộ và Duyên hải miền Trung,Sản lượng,Lúa mùa,1358.6,Nghìn tấn,24.csv
2010,Thanh Hóa,Sản lượng,Lúa mùa,669.5,Nghìn tấn,24.csv
2010,Nghệ An,Sản lượng,Lúa mùa,86.4,Nghìn tấn,24.csv
2010,Hà Tĩnh,Sản lượng,Lúa mùa,3.2,Nghìn tấn,24.csv
2010,Quảng Bình,Sản lượng,Lúa mùa,0.2,Nghìn tấn,24.csv
2010,Quảng Trị,Sản lượng,Lúa mùa,2.4,Nghìn tấn,24.csv
2010,Thừa Thiên Huế,Sản lượng,Lúa mùa,1.0,Nghìn tấn,24.csv
2010,Đà Nẵng,Sản lượng,Lúa mùa,18.1,Nghìn tấn,24.csv
2010,Quảng Nam,Sản lượng,Lúa mùa,198.7,Nghìn tấn,24.csv
2010,Quảng Ngãi,Sản lượng,Lúa mùa,10.3,Nghìn tấn,24.csv
2010,Bình Định,Sản lượng,Lúa mùa,103.4,Nghìn tấn,24.csv
2010,Phú Yên,Sản lượng,Lúa mùa,17.9,Nghìn tấn,24.csv
2010,Khánh Hòa,Sản lượng,Lúa mùa,24.4,Nghìn tấn,24.csv
2010,Ninh Thuận,Sản lượng,Lúa mùa,48.4,Nghìn tấn,24.csv
2010,Bình Thuận,Sản lượng,Lúa mùa,174.7,Nghìn tấn,24.csv
2010,Tây Nguyên,Sản lượng,Lúa mùa,589.6,Nghìn tấn,24.csv
2010,Kon Tum,Sản lượng,Lúa mùa,47.4,Nghìn tấn,24.csv
2010,Gia Lai,Sản lượng,Lúa mùa,175.1,Nghìn tấn,24.csv
2010,Đắk Lắk,Sản lượng,Lúa mùa,260.5,Nghìn tấn,24.csv
2010,Đắk Nông,Sản lượng,Lúa mùa,37.6,Nghìn tấn,24.csv
2010,Lâm Đồng,Sản lượng,Lúa mùa,69.0,Nghìn tấn,24.csv
2010,Đông Nam Bộ,Sản lượng,Lúa mùa,533.1,Nghìn tấn,24.csv
2010,Bình Phước,Sản lượng,Lúa mùa,36.2,Nghìn tấn,24.csv
2010,Tây Ninh,Sản lượng,Lúa mùa,272.4,Nghìn tấn,24.csv
2010,Bình Dương,Sản lượng,Lúa mùa,19.1,Nghìn tấn,24.csv
2010,Đồng Nai,Sản lượng,Lúa mùa,127.4,Nghìn tấn,24.csv
2010,Bà Rịa - Vũng Tàu,Sản lượng,Lúa mùa,40.3,Nghìn tấn,24.csv
2010,TP.Hồ Chí Minh,Sản lượng,Lúa mùa,37.7,Nghìn tấn,24.csv
2010,Đồng bằng sông Cửu Long,Sản lượng,Lúa mùa,1599.0,Nghìn tấn,24.csv
2010,Long An,Sản lượng,Lúa mùa,39.4,Nghìn tấn,24.csv
2010,Bến Tre,Sản lượng,Lúa mùa,154.6,Nghìn tấn,24.csv
2010,Trà Vinh,Sản lượng,Lúa mùa,430.2,Nghìn tấn,24.csv
2010,An Giang,Sản lượng,Lúa mùa,23.3,Nghìn tấn,24.csv
2010,Kiên Giang,Sản lượng,Lúa mùa,237.1,Nghìn tấn,24.csv
2010,Sóc Trăng,Sản lượng,Lúa mùa,99.1,Nghìn tấn,24.csv
2010,Bạc Liêu,Sản lượng,Lúa mùa,270.6,Nghìn tấn,24.csv
2010,Cà Mau,Sản lượng,Lúa mùa,344.7,Nghìn tấn,24.csv
2011,Cả Nước,Sản lượng,Lúa mùa,9217.3,Nghìn tấn,24.csv
2011,Đồng bằng sông Hồng,Sản lượng,Lúa mùa,3176.9,Nghìn tấn,24.csv
2011,Hà Nội,Sản lượng,Lúa mùa,581.5,Nghìn tấn,24.csv
2011,Vĩnh Phúc,Sản lượng,Lúa mùa,151.1,Nghìn tấn,24.csv
2011,Bắc Ninh,Sản lượng,Lúa mùa,208.4,Nghìn tấn,24.csv
2011,Quảng Ninh,Sản lượng,Lúa mùa,117.7,Nghìn tấn,24.csv
2011,Hải Dương,Sản lượng,Lúa mùa,350.0,Nghìn tấn,24.csv
2011,Hải Phòng,Sản lượng,Lúa mùa,223.1,Nghìn tấn,24.csv
2011,Hưng Yên,Sản lượng,Lúa mùa,247.2,Nghìn tấn,24.csv
2011,Thái Bình,Sản lượng,Lúa mùa,492.8,Nghìn tấn,24.csv
2011,Hà Nam,Sản lượng,Lúa mùa,194.9,Nghìn tấn,24.csv
2011,Nam Định,Sản lượng,Lúa mùa,394.4,Nghìn tấn,24.csv
2011,Ninh Bình,Sản lượng,Lúa mùa,215.8,Nghìn tấn,24.csv
2011,Trung du và miền núi phía Bắc,Sản lượng,Lúa mùa,1833.3,Nghìn tấn,24.csv
2011,Hà Giang,Sản lượng,Lúa mùa,147.6,Nghìn tấn,24.csv
2011,Cao Bằng,Sản lượng,Lúa mùa,100.3,Nghìn tấn,24.csv
2011,Bắc Kạn,Sản lượng,Lúa mùa,57.4,Nghìn tấn,24.csv
2011,Tuyên Quang,Sản lượng,Lúa mùa,147.8,Nghìn tấn,24.csv
2011,Lào Cai,Sản lượng,Lúa mùa,89.0,Nghìn tấn,24.csv
2011,Yên Bái,Sản lượng,Lúa mùa,99.6,Nghìn tấn,24.csv
2011,Thái Nguyên,Sản lượng,Lúa mùa,205.7,Nghìn tấn,24.csv
2011,Lạng Sơn,Sản lượng,Lúa mùa,90.2,Nghìn tấn,24.csv
2011,Bắc Giang,Sản lượng,Lúa mùa,311.4,Nghìn tấn,24.csv
2011,Phú Thọ,Sản lượng,Lúa mùa,169.8,Nghìn tấn,24.csv
2011,Điện Biên,Sản lượng,Lúa mùa,108.4,Nghìn tấn,24.csv
2011,Lai Châu,Sản lượng,Lúa mùa,89.9,Nghìn tấn,24.csv
2011,Sơn La,Sản lượng,Lúa mùa,98.3,Nghìn tấn,24.csv
2011,Hòa Bình,Sản lượng,Lúa mùa,117.9,Nghìn tấn,24.csv
2011,Bắc Trung Bộ và Duyên hải miền Trung,Sản lượng,Lúa mùa,1421.5,Nghìn tấn,24.csv
2011,Thanh Hóa,Sản lượng,Lúa mùa,658.9,Nghìn tấn,24.csv
2011,Nghệ An,Sản lượng,Lúa mùa,131.4,Nghìn tấn,24.csv
2011,Hà Tĩnh,Sản lượng,Lúa mùa,5.7,Nghìn tấn,24.csv
2011,Quảng Bình,Sản lượng,Lúa mùa,0.8,Nghìn tấn,24.csv
2011,Quảng Trị,Sản lượng,Lúa mùa,2.4,Nghìn tấn,24.csv
2011,Thừa Thiên Huế,Sản lượng,Lúa mùa,1.1,Nghìn tấn,24.csv
2011,Đà Nẵng,Sản lượng,Lúa mùa,16.2,Nghìn tấn,24.csv
2011,Quảng Nam,Sản lượng,Lúa mùa,216.0,Nghìn tấn,24.csv
2011,Quảng Ngãi,Sản lượng,Lúa mùa,10.0,Nghìn tấn,24.csv
2011,Bình Định,Sản lượng,Lúa mùa,99.1,Nghìn tấn,24.csv
2011,Phú Yên,Sản lượng,Lúa mùa,20.1,Nghìn tấn,24.csv
2011,Khánh Hòa,Sản lượng,Lúa mùa,25.1,Nghìn tấn,24.csv
2011,Ninh Thuận,Sản lượng,Lúa mùa,48.4,Nghìn tấn,24.csv
2011,Bình Thuận,Sản lượng,Lúa mùa,186.3,Nghìn tấn,24.csv
2011,Tây Nguyên,Sản lượng,Lúa mùa,633.5,Nghìn tấn,24.csv
2011,Kon Tum,Sản lượng,Lúa mùa,49.6,Nghìn tấn,24.csv
2011,Gia Lai,Sản lượng,Lúa mùa,180.7,Nghìn tấn,24.csv
2011,Đắk Lắk,Sản lượng,Lúa mùa,286.8,Nghìn tấn,24.csv
2011,Đắk Nông,Sản lượng,Lúa mùa,40.0,Nghìn tấn,24.csv
2011,Lâm Đồng,Sản lượng,Lúa mùa,76.4,Nghìn tấn,24.csv
2011,Đông Nam Bộ,Sản lượng,Lúa mùa,524.5,Nghìn tấn,24.csv
2011,Bình Phước,Sản lượng,Lúa mùa,33.5,Nghìn tấn,24.csv
2011,Tây Ninh,Sản lượng,Lúa mùa,264.7,Nghìn tấn,24.csv
2011,Bình Dương,Sản lượng,Lúa mùa,17.5,Nghìn tấn,24.csv
2011,Đồng Nai,Sản lượng,Lúa mùa,131.7,Nghìn tấn,24.csv
2011,Bà Rịa - Vũng Tàu,Sản lượng,Lúa mùa,39.8,Nghìn tấn,24.csv
2011,TP.Hồ Chí Minh,Sản lượng,Lúa mùa,37.3,Nghìn tấn,24.csv
2011,Đồng bằng sông Cửu Long,Sản lượng,Lúa mùa,1627.6,Nghìn tấn,24.csv
2011,Long An,Sản lượng,Lúa mùa,33.2,Nghìn tấn,24.csv
2011,Bến Tre,Sản lượng,Lúa mùa,148.9,Nghìn tấn,24.csv
2011,Trà Vinh,Sản lượng,Lúa mùa,433.8,Nghìn tấn,24.csv
2011,An Giang,Sản lượng,Lúa mùa,23.3,Nghìn tấn,24.csv
2011,Kiên Giang,Sản lượng,Lúa mùa,202.0,Nghìn tấn,24.csv
2011,Sóc Trăng,Sản lượng,Lúa mùa,103.7,Nghìn tấn,24.csv
2011,Bạc Liêu,Sản lượng,Lúa mùa,302.5,Nghìn tấn,24.csv
2011,Cà Mau,Sản lượng,Lúa mùa,380.2,Nghìn tấn,24.csv
2012,Cả Nước,Sản lượng,Lúa mùa,9487.9,Nghìn tấn,24.csv
2012,Đồng bằng sông Hồng,Sản lượng,Lúa mùa,3142.1,Nghìn tấn,24.csv
2012,Hà Nội,Sản lượng,Lúa mùa,568.2,Nghìn tấn,24.csv
2012,Vĩnh Phúc,Sản lượng,Lúa mùa,115.3,Nghìn tấn,24.csv
2012,Bắc Ninh,Sản lượng,Lúa mùa,202.3,Nghìn tấn,24.csv
2012,Quảng Ninh,Sản lượng,Lúa mùa,123.1,Nghìn tấn,24.csv
2012,Hải Dương,Sản lượng,Lúa mùa,364.3,Nghìn tấn,24.csv
2012,Hải Phòng,Sản lượng,Lúa mùa,224.2,Nghìn tấn,24.csv
2012,Hưng Yên,Sản lượng,Lúa mùa,251.2,Nghìn tấn,24.csv
2012,Thái Bình,Sản lượng,Lúa mùa,478.3,Nghìn tấn,24.csv
2012,Hà Nam,Sản lượng,Lúa mùa,198.4,Nghìn tấn,24.csv
2012,Nam Định,Sản lượng,Lúa mùa,398.6,Nghìn tấn,24.csv
2012,Ninh Bình,Sản lượng,Lúa mùa,218.2,Nghìn tấn,24.csv
2012,Trung du và miền núi phía Bắc,Sản lượng,Lúa mùa,1888.4,Nghìn tấn,24.csv
2012,Hà Giang,Sản lượng,Lúa mùa,150.5,Nghìn tấn,24.csv
2012,Cao Bằng,Sản lượng,Lúa mùa,106.8,Nghìn tấn,24.csv
2012,Bắc Kạn,Sản lượng,Lúa mùa,63.1,Nghìn tấn,24.csv
2012,Tuyên Quang,Sản lượng,Lúa mùa,147.3,Nghìn tấn,24.csv
2012,Lào Cai,Sản lượng,Lúa mùa,89.5,Nghìn tấn,24.csv
2012,Yên Bái,Sản lượng,Lúa mùa,99.3,Nghìn tấn,24.csv
2012,Thái Nguyên,Sản lượng,Lúa mùa,208.4,Nghìn tấn,24.csv
2012,Lạng Sơn,Sản lượng,Lúa mùa,118.9,Nghìn tấn,24.csv
2012,Bắc Giang,Sản lượng,Lúa mùa,313.1,Nghìn tấn,24.csv
2012,Phú Thọ,Sản lượng,Lúa mùa,164.4,Nghìn tấn,24.csv
2012,Điện Biên,Sản lượng,Lúa mùa,109.9,Nghìn tấn,24.csv
2012,Lai Châu,Sản lượng,Lúa mùa,88.8,Nghìn tấn,24.csv
2012,Sơn La,Sản lượng,Lúa mùa,102.7,Nghìn tấn,24.csv
2012,Hòa Bình,Sản lượng,Lúa mùa,125.7,Nghìn tấn,24.csv
2012,Bắc Trung Bộ và Duyên hải miền Trung,Sản lượng,Lúa mùa,1471.6,Nghìn tấn,24.csv
2012,Thanh Hóa,Sản lượng,Lúa mùa,694.1,Nghìn tấn,24.csv
2012,Nghệ An,Sản lượng,Lúa mùa,124.2,Nghìn tấn,24.csv
2012,Hà Tĩnh,Sản lượng,Lúa mùa,5.4,Nghìn tấn,24.csv
2012,Quảng Bình,Sản lượng,Lúa mùa,0.8,Nghìn tấn,24.csv
2012,Quảng Trị,Sản lượng,Lúa mùa,2.3,Nghìn tấn,24.csv
2012,Thừa Thiên Huế,Sản lượng,Lúa mùa,1.2,Nghìn tấn,24.csv
2012,Đà Nẵng,Sản lượng,Lúa mùa,15.6,Nghìn tấn,24.csv
2012,Quảng Nam,Sản lượng,Lúa mùa,210.5,Nghìn tấn,24.csv
2012,Quảng Ngãi,Sản lượng,Lúa mùa,7.1,Nghìn tấn,24.csv
2012,Bình Định,Sản lượng,Lúa mùa,94.7,Nghìn tấn,24.csv
2012,Phú Yên,Sản lượng,Lúa mùa,21.0,Nghìn tấn,24.csv
2012,Khánh Hòa,Sản lượng,Lúa mùa,28.9,Nghìn tấn,24.csv
2012,Ninh Thuận,Sản lượng,Lúa mùa,64.7,Nghìn tấn,24.csv
2012,Bình Thuận,Sản lượng,Lúa mùa,201.1,Nghìn tấn,24.csv
2012,Tây Nguyên,Sản lượng,Lúa mùa,639.6,Nghìn tấn,24.csv
2012,Kon Tum,Sản lượng,Lúa mùa,52.4,Nghìn tấn,24.csv
2012,Gia Lai,Sản lượng,Lúa mùa,186.4,Nghìn tấn,24.csv
2012,Đắk Lắk,Sản lượng,Lúa mùa,281.3,Nghìn tấn,24.csv
2012,Đắk Nông,Sản lượng,Lúa mùa,42.1,Nghìn tấn,24.csv
2012,Lâm Đồng,Sản lượng,Lúa mùa,77.4,Nghìn tấn,24.csv
2012,Đông Nam Bộ,Sản lượng,Lúa mùa,536.6,Nghìn tấn,24.csv
