Elevation,Landcover,Lat,Lon,Ndvi_mean,Province,Soil_clay,Soil_ph,Soil_sand,Soil_soc
27.0,10,13.782,109.2197,0.3502385507246376,Bình Định,31,6.1,43,0.2
49.0,50,13.0833,109.3,0.4346776811594203,Phú Yên,32,5.9,40,0.2
11.0,50,12.2467,109.1917,0.2332223188405797,Khánh Hòa,27,6.3,44,0.2
11.0,50,11.5647,108.9882,0.3639214492753623,Ninh Thuận,33,6.7,39,0.4
9.0,50,10.9333,108.1,0.2803927536231884,Bình Thuận,28,6.4,42,0.2
530.0,50,14.35,108.0,0.3817475362318841,Kon Tum,37,6.3,36,0.2
774.0,50,13.9833,108.0,0.3376347826086956,Gia Lai,39,6.0,32,0.4
454.0,50,12.6667,108.0333,0.3828982608695652,Đắk Lắk,38,6.5,35,0.4
601.0,10,12.0,107.6833,0.4546028985507246,Đắk Nông,37,6.0,35,0.4
844.0,10,11.5714,107.8091,0.6304655072463768,Lâm Đồng,41,5.4,34,0.4
109.0,10,11.7332,106.9062,0.7159101449275362,Bình Phước,34,5.1,43,0.4
9.0,10,11.3,106.1,0.5448489855072464,Tây Ninh,43,5.4,26,0.4
58.0,10,11.197,106.7081,0.6092527536231884,Bình Dương,26,5.3,52,0.4
7.0,50,10.95,106.8167,0.2112255072463768,Đồng Nai,34,5.9,43,0.2
7.0,50,10.4114,107.1358,0.3226844574780059,Bà Rịa - Vũng Tàu,34,6.1,40,1.2
11.0,50,10.7769,106.7009,0.2611559420289855,TP.Hồ Chí Minh,40,5.0,31,0.2
3.0,50,10.5333,106.4,0.4158046376811594,Long An,31,5.7,42,0.2
3.0,50,10.2448,106.3735,0.4122165217391305,Bến Tre,28,5.9,47,0.4
6.0,50,9.9414,106.3364,0.441956231884058,Trà Vinh,32,5.8,36,0.4
-1.0,40,10.5149,105.1132,0.5879285294117648,An Giang,44,5.5,27,1.2
8.0,40,9.9167,105.15,0.5305359420289855,Kiên Giang,39,5.1,27,0.8
-1.0,40,9.5664,105.8764,0.5491060869565217,Sóc Trăng,32,6.1,34,0.6
4.0,50,9.2825,105.7261,0.295888115942029,Bạc Liêu,31,5.5,44,0.2
6.0,50,9.1769,105.1478,0.2171542028985507,Cà Mau,35,4.9,39,0.0
2.0,10,10.3814,106.2353,0.7042736231884058,Tiền Giang,27,5.9,48,0.8
3.0,50,10.25,105.9667,0.3191173913043478,Vĩnh Long,37,6.2,30,0.2
8.0,50,10.45,105.6333,0.3344547826086956,Đồng Tháp,33,6.1,41,0.2
3.0,50,10.0333,105.7833,0.1738290697674418,Cần Thơ,36,6.2,35,0.4
3.0,50,9.784,105.47,0.3991228985507246,Hậu Giang,36,5.6,35,0.0
