"Năng suất ngô phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Quảng Năm",44.0,40.1,42.5,42.5,43.7,43.7,44.6,43.8,46.2,46.7,47.1,46.2,48.6,48.4,47.5,50.0
"Quảng Ngãi",50.6,46.5,50.3,51.6,52.2,53.0,55.0,55.2,56.5,57.5,58.1,57.7,57.2,57.6,57.3,58.1
"Bình Định",51.0,48.7,51.8,54.6,55.4,56.2,55.9,57.2,58.8,59.8,61.0,60.8,60.3,60.8,63.2,63.5
"Phú Yên",27.3,23.2,24.9,31.8,37.8,36.0,35.5,40.3,38.8,40.7,43.2,45.6,48.0,48.5,49.2,50.2
"Khánh Hoà",18.2,19.8,20.2,21.1,21.4,21.8,22.2,21.1,23.0,21.2,23.0,22.0,21.3,21.6,21.5,22.0
"Ninh Thuận",32.4,34.1,32.1,35.8,33.5,38.6,41.8,41.3,38.9,39.3,42.3,43.2,47.2,45.4,49.0,51.5
"Bình Thuận",54.5,55.8,58.6,59.5,59.3,60.4,61.8,63.0,62.9,62.3,64.6,64.9,66.0,67.2,65.5,66.2
"Tây Nguyên",46.2,45.9,50.0,52.0,50.2,51.8,53.1,53.7,53.5,56.5,56.7,58.7,57.1,59.9,60.1,62.5
"Kon Tum",35.3,34.6,35.5,35.9,36.5,36.6,37.3,37.8,38.9,40.2,41.4,40.0,40.9,41.9,42.1,43.0
"Gia Lai",35.1,36.4,38.4,41.0,39.1,40.4,41.2,42.5,41.9,44.6,45.3,47.2,47.6,53.4,54.9,58.7
"Đắk Lắk",49.0,46.5,53.4,55.4,51.8,53.7,54.9,55.2,55.1,59.3,60.1,62.1,58.9,61.5,61.4,63.4
"Đắk Nông",60.5,61.5,62.0,61.2,60.7,61.1,63.6,63.6,63.6,64.4,62.1,65.4,64.4,65.8,65.6,67.5
"Lâm Đồng",40.1,43.5,44.0,46.7,49.8,50.9,51.4,53.5,54.1,54.6,55.4,55.8,56.9,57.5,55.8,59.5
"Đông Năm Bộ",50.4,51.2,52.0,54.2,56.2,58.0,59.8,62.4,63.6,63.1,64.2,65.7,69.6,71.4,73.4,73.2
"Bình Phước",32.7,31.5,31.3,31.5,34.2,36.6,37.6,38.2,38.2,38.0,39.0,38.5,38.8,39.4,39.1,39.3
"Tây Ninh",49.0,49.0,50.8,50.2,50.6,52.9,53.3,55.2,55.7,56.5,55.9,56.4,58.1,58.4,58.8,59.1
"Bình Dương",20.0,24.0,24.0,20.0,22.5,20.0,17.5,17.5,20.0,20.0,20.0,20.0,20.0,21.9,21.8,21.5
"Đồng Nai",55.5,57.7,59.1,61.2,64.1,65.4,67.9,70.9,71.7,71.8,72.4,75.4,79.9,80.1,81.4,81.8
"Bà Rịa - Vũng Tàu",42.5,42.9,42.9,43.7,42.3,45.1,45.7,46.6,47.3,46.6,52.0,51.9,55.5,59.2,62.0,57.7
"TP.Hồ Chí Minh",35.7,34.2,34.4,38.3,32.5,31.8,32.1,35.6,36.0,36.0,37.5,35.7,44.0,43.3,42.1,43.6
"Đồng bằng sông Cửu Long",56.4,52.2,53.2,53.4,54.0,56.8,60.4,57.5,55.6,57.0,57.4,57.8,61.9,62.8,65.7,63.9
"Long An",54.1,48.8,54.8,52.9,59.5,57.4,69.5,69.0,48.8,64.3,62.3,55.7,62.5,48.5,55.7,37.1
"Tiền Giang",33.5,33.2,33.4,33.0,33.5,34.7,36.3,35.9,36.1,35.8,35.7,36.2,35.9,36.6,35.9,37.1
"Bến Tre",30.0,34.4,38.9,39.0,37.8,37.1,38.6,37.1,38.3,35.0,40.0,43.3,30.0,38.8,40.0,40.0
"Trà Vinh",54.2,46.4,51.9,50.9,47.6,53.6,55.0,54.5,52.3,52.9,52.3,55.4,55.7,56.7,60.0,61.0
"Vĩnh Long",20.0,20.8,21.5,21.3,22.0,23.6,23.6,24.2,23.1,24.3,24.4,25.6,27.1,27.7,29.0,32.8
"Đồng Tháp",76.1,74.0,67.6,64.5,72.6,76.5,77.4,76.7,77.9,80.6,82.6,83.7,90.2,90.2,89.8,87.7
"An Giang",74.4,70.8,69.8,73.8,70.8,72.5,80.7,74.1,75.2,76.0,81.3,73.5,78.1,80.0,84.7,77.3
"Kiên Giang",43.2,41.1,..,30.0,30.0,70.0,70.0,65.0,60.0,56.7,50.0,70.0,56.7,71.6,69.0,71.2
"Cần Thơ",50.0,46.4,50.0,50.0,50.0,51.7,55.0,50.0,52.7,50.9,54.5,55.6,61.1,58.7,60.6,59.3
"Hậu Giang",42.9,48.5,46.1,47.1,46.8,47.3,49.3,49.3,46.6,47.2,49.4,59.4,62.3,62.5,65.8,59.7
"Sóc Trăng",36.2,38.2,38.6,37.3,37.1,37.9,38.7,40.0,39.8,40.2,39.8,40.2,42.5,43.5,44.5,46.0
"Bắc Liêu",35.0,70.0,70.0,70.0,60.0,45.0,40.0,40.0,40.0,40.0,50.0,50.0,50.0,55.8,57.5,59.1
"Cà Mau",25.0,35.0,33.3,33.3,34.0,36.0,36.0,38.0,44.0,46.0,50.0,48.3,50.0,49.7,48.6,49.9
